node,sxx,syy,szz,sxy,sxz,syz,principal_stress,TCI,crack_risk
1,-10.408990124999999,-9.901543750000002,-0.100280375,-0.108739608,-4.656775625,-3.21203425,10.408990124999999,0.5626481148648649,False
5,-11.964208812499999,-10.3034846875,-0.32994634999999994,-0.10160235756250001,-3.69277975,-3.4472454999999997,11.964208812499999,0.6467139898648648,False
6,-12.193672437499998,-11.171216874999997,-0.4924866053125,-0.0486291630625,-3.5602108749999997,-1.7809094718749998,12.380312499999997,0.6692060810810811,False
2,-10.589019249999998,-10.7085761875,-0.27977488062499994,-0.0527857288125,-4.567529187500001,-1.63141416875,10.962299374999999,0.592556722972973,False
57,-5.176928812499999,-4.571928437500001,1.16342185625,-0.13379985775,-1.6498886824999996,-0.8662515362499997,7.251323062499999,0.39196340878378383,False
61,-6.61527685,-4.964864468749999,0.3750723812500001,-0.127850263309375,-1.5293586350000004,-0.9766817587500001,7.8962079375,0.42682205067567563,False
62,-6.912017424999996,-5.712279178124999,-0.38283276,-0.0661856459828125,-1.4270018892187495,-0.5450217231250002,7.970671531249998,0.4308471097972974,False
58,-5.40839275,-5.248040718750001,0.427014079375,-0.06681438284375,-1.5771139071874998,-0.46107393374999994,7.2578284375000015,0.39231505067567574,False
113,1.0181018437500002,1.3364885081250002,1.51012204375,-0.09379634812499998,0.9771573478749999,0.8646073325000001,3.1215220500000003,0.1687309216216216,False
117,0.6941891968749999,1.1528729890624998,0.6687492000000003,-0.106525419871875,0.6724738458124999,0.883320900625,3.283544400000001,0.1774888864864865,False
118,0.53444360021875,1.0416775226562502,-0.0734322995312499,-0.0784547757171875,0.7118240697031245,0.40006100031250014,3.28904930625,0.17778644898648652,False
114,0.9054462691875003,1.2630650665624998,0.8015498384374999,-0.05807901749999998,1.00389786690625,0.4078769725,3.0693898624999996,0.16591296554054058,False
169,1.9810711875,1.91529014125,0.5931200000000001,-0.028732588750000003,0.59731643575,0.24968348750000002,2.1493881,0.11618314054054053,False
173,2.6547232812500003,1.9319902281249999,0.2574072875000001,-0.0589526706875,0.710885211625,0.27275981875,2.7388817375000003,0.1480476614864865,False
174,2.6992496129375003,2.3366965265625,0.126314315625,-0.07316742253125001,0.7174410428437501,0.10925597499999996,3.01706805,0.16308475945945938,False
170,2.0386587883750003,2.313635383125,0.46929663750000006,-0.035314998125000004,0.5944943606875001,0.10648764375000001,2.5854222249999994,0.13975255270270268,False
7,-12.206282593750002,-11.188920781249996,-0.09109810218749997,0.062044969781249994,-3.4002786874999997,1.5916062781249996,12.39292265625,0.6698877111486486,False
3,-10.620889562500002,-10.739767874999997,0.07425846937500001,0.0644829508125,-4.450617625,1.5584512687499998,10.9941696875,0.5942794425675676,False
63,-6.905818098437501,-5.715167318749998,-0.08964654593750003,0.069087320828125,-1.2829388645312494,0.36041970031250015,7.980022546875,0.43135257010135136,False
59,-5.422640343750001,-5.260972687499997,0.67976932625,0.07773026946875,-1.4792510506249994,0.3753092000000001,7.299656499999999,0.39457602702702704,False
119,0.5361712110937499,1.0433951151562502,0.029657860468749932,0.01165673671875,0.8029750210156245,-0.5346954121874998,3.2901620109375003,0.17784659518581078,False
115,0.8913909003124999,1.2623451525000005,0.8824651084374999,0.0384377065625,1.0543504079687498,-0.4888817531249999,3.097226959375,0.16741767347972972,False
175,2.6776960253124997,2.3282040865625007,0.14751071062500004,-0.05281619843749999,0.7715490835937502,-0.19862394687499998,3.013201584374999,0.16287576131756756,False
171,2.007172925625,2.3068678050000004,0.47965003375,-0.014102175000000003,0.6165852921875,-0.1699306375,2.5893106062499998,0.13996273547297297,False
8,-11.989429125,-10.3388925,0.47283065625,0.11974590812499998,-3.3729153749999994,3.2977859999999994,11.989429125,0.6480772500000002,False
4,-10.47273075,-9.963927125,0.607786325,0.12579775124999998,-4.4229525,3.1676966249999996,10.47273075,0.5660935540540541,False
64,-6.602878196874999,-4.970640749999999,0.961444809375,0.1426956703125,-1.241232585625,0.8342010881249999,7.914909968749999,0.4278329712837838,False
60,-5.205424000000001,-4.597792374999999,1.6689323499999997,0.155289446875,-1.4541629693749998,0.8065147312499998,7.334979187500001,0.3964853614864865,False
120,0.697644418625,1.1563081740625,0.8749295200000001,0.07369760499999997,0.8547757484375004,-0.9861919243749997,3.285769809374999,0.17760917888513514,False
116,0.989991106,1.3350486799999999,1.6719525837500002,0.0992371,1.0780624300000003,-0.9289101187499996,3.17719624375,0.17174033750000003,False
176,2.6116161059999996,1.915005348125,0.29980007750000004,-0.018250222499999996,0.8191012931249999,-0.343000025,2.7311488062499993,0.1476296652027027,False
172,1.9180994619999998,1.901754985,0.6138267925,0.013693057500000001,0.64149829875,-0.303153075,2.1571648624999997,0.1166035060810811,False
9,-14.269400000000001,-10.898570125,-0.655829735,-0.0670742824375,-2.2368020625000002,-3.914757375,14.269400000000001,0.7713189189189189,False
10,-14.5567846875,-11.82765525,-0.7298828637499999,-0.042488986125,-2.0536234375,-2.0949380125,14.5567846875,0.7868532263513512,False
65,-8.777498631250001,-5.4310378749999995,-0.32788131125000003,-0.09451379043437502,-1.2601934937499994,-1.1952099124999997,9.084753781249999,0.4910677719594595,False
66,-9.163970253125001,-6.2558329796875025,-1.08499881,-0.07289115017031249,-1.11240253046875,-0.7220950749999998,9.329667109375,0.5043063302364864,False
121,0.14598965000000008,1.0024040971875003,-0.05998684374999998,-0.11554543987187502,0.10019219062500001,0.923391409375,3.7388420625000007,0.20209957094594594,False
