sensor_pk,concrete_pk,device_id,channel,d_type,dims,created_at,updated_at
S000001,C000001,shytest01,1,2,"{""nodes"": [1.0, 1.0, 0.0]}",2025-06-05T10:54:02+00:00Z,2025-06-05T10:54:02+00:00Z
S000002,C000001,shytest01,2,2,"{""nodes"": [1.0, 2.0, 0.0]}",2025-06-05T10:54:02+00:00Z,2025-06-05T10:54:02+00:00Z
S000003,C000001,shytest01,3,2,"{""nodes"": [1.2, 1.2, 0.4]}",2025-06-05T16:28:00+00:00Z,2025-06-05T16:28:00+00:00Z
S000004,C000001,shytest01,4,2,"{""nodes"": [1.2, 1.4, 0.4]}",2025-06-05T16:28:16+00:00Z,2025-06-05T16:28:16+00:00Z
S000005,C000001,shytest01,5,2,"{""nodes"": [1.2, 1.6, 0.4]}",2025-06-05T16:28:27+00:00Z,2025-06-05T16:28:27+00:00Z
